,name,establishment,url,address,city,locality,zipcode,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes
2525,Domino's Pizza,['Quick Bites'],https://www.zomato.com/ahmedabad/dominos-pizza-mani-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2, Ground Floor, Sigma Esquire, Opposite Kankaria Swimming Pool, Mani Nagar, Ahmedabad",Ahmedabad,Mani Nagar,0,"Mani Nagar, Ahmedabad","Pizza, Fast Food",10:57 AM to 3 AM,400,2,"['Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Free Parking', 'Air Conditioned', 'Pure Veg', 'Indoor Seating', 'Digital Payments Accepted']",3.8,Good,1137
2526,Barbeque Nation,['Casual Dining'],https://www.zomato.com/ahmedabad/barbeque-nation-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor, Formula 1, Beside Venus Atlantis, 100 Feet Road, Prahlad Nagar, Ahmedabad",Ahmedabad,Prahlad Nagar,,"Prahlad Nagar, Ahmedabad","Mughlai, North Indian, BBQ","12noon – 3:30pm, 6:30pm – 11pm (Mon-Sun)",1600,4,"['Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Lunch', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended', 'Buffet']",4.6,Excellent,871
2527,Roastery Cultur - The Coffee Company,['Café'],https://www.zomato.com/ahmedabad/roastery-cultur-the-coffee-company-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"41, Spring Field Row House, Bunglow Road, Near Amul Auda Garden Judges, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad",Cafe,9am – 12midnight (Mon-Sun),800,3,"['Dinner', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Free Parking', 'Indoor Seating', 'Outdoor Seating', 'Pure Veg']",4.6,Excellent,184
2528,Kovallam,['Casual Dining'],https://www.zomato.com/ahmedabad/kovallam-c-g-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Sardar Patel Sewa Samaj Hall, C G Road, Ahmedabad",Ahmedabad,C G Road,,"C G Road, Ahmedabad",South Indian,"11am – 3pm, 6pm – 10:30pm (Mon-Sun)",700,2,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted']",4.7,Excellent,623
2529,City Corner,['Casual Dining'],https://www.zomato.com/ahmedabad/city-corner-mani-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Rajkamal Complex, Opposite Swaminarayan Mandir, Rambaug, Mani Nagar, Ahmedabad",Ahmedabad,Mani Nagar,380008,"Mani Nagar, Ahmedabad","Fast Food, Chinese, South Indian",12 Noon to 12:15 AM,400,2,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.1,Very Good,813
2530,Fullfills,['Casual Dining'],https://www.zomato.com/ahmedabad/fullfills-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"G2, Ground Floor, Yash Aqua, Vijay Char Rasta, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad","Continental, Fast Food",Mon-Sun (11 AM to 11 PM),600,2,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Debit Card', 'Indoor Seating', 'Kid Friendly', 'Brunch', 'Air Conditioned', 'Pure Veg']",4.3,Very Good,338
2531,Jassi De Parathe,['Casual Dining'],https://www.zomato.com/ahmedabad/jassi-de-parathe-vastrapur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"28, Sardar Centre, Vastrapur, Ahmedabad",Ahmedabad,Vastrapur,0,"Vastrapur, Ahmedabad",North Indian,11am – 11:30pm (Mon-Sun),750,3,"['Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Outdoor Seating', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']",4.3,Very Good,1797
2532,Yanki Sizzlers,['Casual Dining'],https://www.zomato.com/ahmedabad/yanki-sizzlers-thaltej?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4, Ground Floor, Binori Ambit, Next to Renault Showroom, Thaltej Circle, Thaltej, Ahmedabad",Ahmedabad,Thaltej,0,"Thaltej, Ahmedabad","Continental, Italian, Chinese","12 Noon to 3 PM, 7 PM to 11 PM (Mon-Sun)",1200,3,"['Lunch', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Credit Card', 'Indoor Seating', 'Table booking not available', 'Air Conditioned', 'Digital Payments Accepted']",4.9,Excellent,3610
2533,Vipul Dudhiya,['Sweet Shop'],https://www.zomato.com/ahmedabad/vipul-dudhiya-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Navnidhi Complex, Near Stadium Circle, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,0,"Navrangpura, Ahmedabad",Mithai,8 AM to 10 PM,200,1,"['Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes', 'Air Conditioned']",4.5,Excellent,571
2534,Honest,['Casual Dining'],https://www.zomato.com/ahmedabad/honest-prahlad-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1-3, Ground Floor, Circle P Complex, Prahlad Nagar, Ahmedabad",Ahmedabad,Prahlad Nagar,0,"Prahlad Nagar, Ahmedabad","North Indian, South Indian, Fast Food, Chinese",11 AM to 12 Midnight,700,2,"['No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Table Reservation Not Required', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.0,Very Good,1073
