food
"Manchow Soup, Romantic Place, Continental, Italian, Chinese, North Indian, Pizza, Desserts, Beverages, Masala Papad, Ratatouille Cigars, Indoor Seating, Infrastructure, Hot Pot, Mojito, Huge Place, Candle Light Dinner, Ambiance and Music, Papad Platter"
"Garlic Bread Stick, Pizza, Pasta, Italian, Fast Food, Desserts, Shake, White Sauce Pasta, Tandoor Paneer Pizza, Best Place, Not very Crowded, Great Ambiance, Peri Peri Pizza, Pasta, Nice Service, Great Recommendations, Music, Sauce"
"Smoothie, Peri Fries, Cafe, Shake, Pizza, Italian, Fast Food, Bakery, Healthy Food, Beverages, Fancy Crowd, Nothing to Complain so Far, Amazing Ambience, Pink Pasta, Perfect Ambience, Couple Friendly, Alfredo Pasta, Farmhouse Pizza, Cozy, Monster Shake"
"Continental, Chinese, North Indian, Lebanese, Italian, Fast Food, Desserts, Beverages, Great Food Great Service, Cigar Roll, Cheese French Fries, Creative Ambience, Pink Pasta, Ristretto, Romantic Seating, Pesto Spaghetti, Live Sports, Sit and Read, Blueberry Mojito, Resonable Rates"
"Chicken Biryani, Relaxed Atmosphere, Delivery Time, Sizzler, Mutton, Staff Behavior, Best Food, Decor, North Indian, Chinese, Beverages, Biryani, Awadhi, Lucknowi, Desserts, Chicken Tandoori, Food Quantity, Starters, Butter Chicken"
"Brunch, Healthy Breakfast, Spaghetti, Risotto, Italian, Continental, North Indian, South Indian, Asian, Sandwich, Desserts, Beverages, Bruschetta, Sophisticated, Tiramisu, New Menu, Worth the Price, Relaxed Atmosphere, Lasagna, Romantic Dining"
"Chaas, Great Lighting, Rooftop Ambience, Authentic Food, Dhokla, Sophisticated, Guava Ice Cream, Gujarati Thali, Gujarati, Authentic Gujarati Food, Worth the Price, Deluxe Veg Thali, Great for Dates"
"Sweet Dish, Cream Fruit Salad, Chaas, Royal Ambience, Dhokla, Reasonable Cost, Good for Large Groups, Gujarati Thali, Authentic Gujarati Food, Unlimited Refills, Employee, Gastronomical Experience, Gujarati, North Indian"
"Family Place, Mutton, Comfortable Seating Area, North Indian, Chinese, Continental, Seafood, Fast Food, Mughlai, Ice Cream, Beverages, Tawa Chaap, Foil Chicken, Excellent Food, Quick Service, Butter Chicken, Breakfast, Caramel Custard, Bheja Fry, Tasty Food"
"Good Delivery, Pizza, Italian, Fast Food, Desserts, Manager, Nice Delivery, Great Service, Excellent Service, Fast Delivery"
"Khichdi, Food Delivery, North Indian, Chinese, Quick Delivery, Hakka Noodles, Sweets, Good Packing, Healthy Food, Meals, Great Packaging, Fried Rice, Raita, Large Meal"
"Salted Caramel Cheesecake, Comfortable Seating, Barbecue Chicken, Decent Ambience, Risotto, Serving Staff, Mud Pie, Pork, Chicken Lasagna, More Variety, Games, Cozy Place, Cafe, Coffee, Pizza, Pasta, Mexican, Italian, Desserts, Beverages"
"Cottage Cheese Pizza, Spaghetti Arrabiata, Italian, Pizza, Pasta, Good for Large Groups, Diavola Pizza, Fancy Crowd, Mushroom Ravioli, Courteous Staff, Neapolitan Pizza, Lovely Ambience, Pesto Spaghetti, Relaxed Atmosphere, Authentic"
"Gujarati, Pizza, Burger, Sandwich, Fast Food, Street Food, Beverages"
"Good Food Good Quality, Barbeque, North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts, Pan Kulfi, Live Grill, Crew, Friendly Service, More Variety, Crispy Corn, Fish Fingers, Ample Seating Area, Skewers, Cajun Spicy Potato"
"Nawabi Paneer, Good for Large Groups, North Indian, Italian, Continental, Shawarma, Pasta, Pizza, Desserts, Beverages, Mushroom Soup, Veg Platter, Best Restaurant, Paneer Makhani, Vibe, Lasagne, Ample Seating Area, Choco Mud Pot, Relaxed Atmosphere, Staff Behaviour"
"Family Crowd, Dosa, Good Delivery, Chinese Bhel, Manchurian Rice, Good for Large Groups, Butter Roti, Nice Taste, Best Service, Sev Puri, Biryani, Fast Delivery, North Indian, Chinese, Street Food, South Indian, Fast Food, Pizza, Desserts, Beverages"
"Cappuccino, Free Wifi, Good Crowd, Thick Shake, Pastry, Italian, Fast Food, Street Food, Coffees, Cosy Place, Hookah, Hot Chocolate, Sit and Read, Great Hangout Place, Mocha"
"Italian, Continental"
"Comfortable Seating, Watermelon Mint Mojito, North Indian, Italian, Continental, Shawarma, Pasta, Pizza, Desserts, Beverages, Mango Cheesecake, Art, Carrot Cake, Paneer Nawabi, Nice Interiors, Bright Ambience, Bharwaan Mushroom, Relaxed Atmosphere, Choco Mud Pot, Supportive Staff"
"Tasty, North Indian, Gujarati, Chinese, Kathiyawadi, Quick Delivery, Nice Food, Inexpensive, Good Service, Best Food"
"Kit Kat Shake, Decent Ambience, Pizza, Fast Food, Italian, Pasta, Chirpy Crowd, Supportive Staff, Nice Location, Casual Seating Area, Peri Peri Pizza, Chocolate Lava Cake, Good Atmosphere, Peri Peri Paneer, Peri Peri French Fries, Chocolate Pudding"
"North Indian, Mughlai, Chinese, Beverages, Spicy Mutton, Sweet Corn Soup, Chicken Starters, Family Place, Great Value, Chicken Lasagna, Peanut Chicken, Best Restaurant, Family Restaurant, Fish Tikka, Affordable Food, Relaxed Atmosphere"
"Spicy Chicken, Fun Place, Chicken Parmigiana, Peri Peri Chicken, Spinach Crepe, Crepes, Good Vibe, Cafe, Fast Food, North Indian, Chinese, Desserts, Beverages, Italian, Board Games, Beautiful Cafe, Beautiful Interiors, Sit and Read, Sweet Potato Fries"
"Rabri Faluda, Best Quality, Totally Worth it, Best Place, Ice Cream, Desserts, Shake, Coffee, Beverages, Ice Creams, Sweets, Management, Nice Service, Good Place, Rajwadi Lassi, Kulfi"
"Sandwich, Pizza, Fast Food, Street Food, Chinese, North Indian, Shake, Beverages, Polite Staff, Pocket Friendly, Club Sandwich, Thick Shakes, Cool Place, New Menu, Sev Puri, Wraps, Mojito, Best Places, Quick Service, Bhaji Pav"
"Eggless Cake, Choco Vanilla, Banana Bread, Double Dip Cupcake, Totally Worth it, Pocket Friendly, Cup Cakes, Chocolate Chip Cookies, Favorite Place, Table Service, Desserts, Bakery, Wonderful Place, Cozy Place"
"Chocolate Truffle Pastry, Ravioli Pasta, Trained Staff, Macaroon, Everything was very Good, Courteous Staff, Beautiful Ambience, Choco Walnut, Packed on Weekends, Couple Friendly, Cafe, Beverages, Continental, Italian, Mexican, Fast Food, Desserts, Waffle, Croissant Sandwich, Au Gratin"
"Menu Options, North Indian, Pizza, Italian, Beverages, Chana Puri, Serving Size, Staff Behavior, Chole Bhature, Karari Rumali, Ice Creams, Quality of Food, Roomali Roti, Lights, Cheese Butter Masala, Design"
"Comfort Food, Seating Arrangements, Elegantly Decorated, Polite Staff, Not very Crowded, Burger, Fast Food, Desserts, Beverages, Great Recommendations"
"Nice Food Nice Service, Paneer Bhuna Masala, Parathas, Good for Large Groups, North Indian, Kebab, Street Food, Desserts, Beverages, Great Value, Dum Biryani, Lassi, Authentic Punjabi Food, Kokum Sharbat, Excellent Place, Ample Seating Area, Authenticity"
"Sake, Pleasant Atmosphere, Pizza, Fast Food, Italian, Pasta, Pastas, Good for Large Groups, Pizzas, Infrastructure, Chocolate Lava, Garden Fresh, Friendly Service, Fried Cheese, Ample Seating Area, Peri Peri French Fries"
"Sandwich, Wraps, Pizza, Burger, Fast Food, Shake, Beverages, Awesome Food, Bread, Spicy, Best Service, Good Ambience, Excellent Service"
"Nice Place, Burger, Fast Food, Beverages, Meals, Great Taste, Cafe, Great Recommendations, Fast Delivery"
"Comfort Food, Quick Delivery, Pocket Friendly, Pizza, Italian, Fast Food, Desserts, Great Service, Excellent Service, Location"
"Deserts, Excellent Staff, Pan Kulfi, Bbq, Amazing Food and Experience, Service is Great, More Variety, Kesari Firni, North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts, Phirni, Themed Decor, Meat Balls, Staff Service"
"Cappuccino, The Place is Really Good, Charging Ports, Fancy Crowd, French Press Coffee, Packed on Weekends, Cafe, Fast Food, Italian, Coffee, Beverages, Desserts, Dessert Counter, Coffees, Cozy, Hot Chocolate, Cranberry Juice, Ambience was Super Cool"
"Nice Food Nice Service, South Indian, Beverages, Mixed Veg Uthappam, Great Environment, Peaceful Ambience, Schezwan Idli, The Service of the Restaurant, Good Vibes, Guava Ice Cream, More Variety, Idli Sambar, Appam, Ghee Podi Dosa"
"Fast Food, Chinese, North Indian, South Indian, Sichuan, Beverages, Nice Food, Great Taste, Nice Service, Best Food, Fast Delivery, Tasty Food"
"Cheese Garlic Paratha, Chaas, Combos, North Indian, Kebab, Street Food, Desserts, Beverages, Packed on Weekends, Rajma Chawal, Authentic Punjabi Food, Good Packing, Crispy Paratha, Daal Makhani, Ample Seating Area, Themed Decor, Authenticity"
"Crispy Chilli Potatoes, Mojito Cocktail, Comfortable Seating, Continental, Italian, Chinese, Desserts, Awesome Staff, Faster Service, Serving Size, Taste of Food, Peach Mocktail, Blueberry Splash, Excellent Services, Basil Pesto Spaghetti, Peppy Paneer Platter"
"Value for Money, Mithai, Desserts, Hygienic Place, Packaging, Portion Size, Good Taste, Price"
"Gulab Jamun, Ample Seating Area, Chinese Bhel, North Indian, South Indian, Fast Food, Chinese, Bakery, Desserts, Beverages, Shake, Gujarati Thali, Nice Location, Good Services, Good Food Quality, Masala Dosa, Bhaji Pav, Good Location, Nice Staff, Pavbhaji"
"Sol Kadhi, Kothimbir Vadi, Puranpoli, Authentic Food, Maharashtrian, Gujarati, Street Food, Beverages, Family Place, Serving Style, Comfortable Seating Area, Misal, Kokum Sharbat, Gastronomical Experience, Mohanthal, Service and Quality of Food"
"Puranpoli, Courteous Staff, Gujarati Thali, Comfortable Seating Area, Reasonable Rate, Good Packing, Kathiyawadi, North Indian, Biryani, Chinese, Continental, Beverages, Family Restaurant, Authentic Gujarati Food, Quick Service, Farsan, Raita, Puran Poli"
"Cappuccino, Burger, Fast Food, Beverages, Elegantly Decorated, Supreme Burger, Polite Staff, Spicy Fries, Burgers, Good Taste, Location, Great Recommendations, Fast Delivery"
"Deluxe Veggie Pizza, Share Garlic Bread, Beautiful Ambience, Pepperoni Pizza, Fresh Ingredients, Peri Peri Fries, Tiramisu, Make your own Pizza, Lights, Best Places, Relaxed Atmosphere, Cheese Garlic Toast, Cafe, Beverages, Pizza, Italian, Desserts"
"Snacks, Good Crowd, Dhokla, Best Place, Wonderful Presentation, Gujarati, Street Food, Gujarati Food, Quality Food, Cutlery, Sev Khamni, Hygiene, Farsan, Cheese Roll"
"Comfort Food, Nice Place, Pizza, Italian, Fast Food, Desserts, Good Food, Good Service, Prompt Service, Fast Delivery"
"Chinese, Italian, Continental, Sandwich, Pizza, Desserts, Staff Politeness, Chef Special, Shanghai Spring Roll, Great Food Great Service, Valet Service, Excellent Food and Service, Veg Club Sizzler, Sizzling Vegetables, Babaganush, Sizzler Brownie, Nice Atmosphere, Chinese Combo Meal"
"Fast Service, Pizza, Italian, Fast Food, Desserts, Good Food, Good Service, Superb Service, Fast Delivery, Taste of Food"
"Great Place, Kit Kat Shake, Friendly Staff, Peaceful Ambience, Chocolate Avalanche, Music, Presentation, Cafe, Coffee, Pizza, Italian, Bakery, Waffle, Shake, Beverages, Chocolate Addiction, Hot Chocolate, Pancake, Waffle, Perfect Place"
"Smoothie, Jamun Shot, Concept, Juices, Healthy Food, Shake, Desserts, Beverages, Delivery Time, Best Place, Platter, Juices, Mix Juice, Presentation, Price, Flavour"
"Main Course, Manager, Presentation, Worth the Price, Atmosphere, Breakfast, North Indian, Asian, Continental, Chinese, Wraps, Desserts, Beverages"
"North Indian, Continental, Gujarati, Italian, Main Course, Hospitality, Worth the Price, Interior, Great Service, Best Food under Best Budget"
"Spicy Chicken, Chinese, Great Food Great Service, Courteous Staff, Sophisticated, Pork, Chinese, Asian, Sichuan, Desserts, Dimsums, Noodle, Worth the Price, Private Dining Room, Tofu Soup, Dumplings"
"Outdoor Seating, Ambiance, Chinese, Continental, North Indian, Beverages, Desserts, Environment, New Menu, Best Food under Best Budget, Food Presentation"
"Main Course, Dal Makhni, Mutton, North Indian, Mughlai, Seafood, Biryani, Kebab, Desserts, Beverages, Platter, Kebabs, New Menu, Worth the Price, Starter, Great Service, Breads, Relaxed Atmosphere, Live Music"
"Deserts, Courteous Staff, Sophisticated, Fish, Attentive Staff, Luxury, Atmosphere, South Indian, Continental, Fast Food, Pizza, Chinese, North Indian, Mughlai, Beverages, Pasta, Chicken, Starters, Great for Dates, Salads"
"Deserts, Lightings, Good for Large Groups, Dinner Buffet, Great Value, Fish, Dahi Puri, North Indian, Continental, Sandwich, Fast Food, Mughlai, Oriental, Beverages, Desserts, Noodle, Chicken Sausages, Gastronomical Experience, Themed Decor, Everthing is Perfect"
"Warm Welcome, Brunch, Deserts, Family Place, Courteous Staff, Amazing Food and Experience, Hakka Noodles, Grilled Chicken Steak, North Indian, Chinese, Asian, Beverages, Desserts, Variety of Veg Options, Starters"
"Spaghetti Pasta, Family Crowd, Intimate Seating, Courteous Staff, Hostess, Amazing Ambience, Crepe, Dessert Counter, Environment, Cafe, Continental, North Indian, Fast Food, Beverages, Tea, Paneer Paratha, Chai, Buckwheat"
"Food Service, Gulab Jamun, Preparation, Trained Staff, Mughlai, Kebab, North Indian, Desserts, Kababs, Gajar Halwa, Portions, Galouti Kabab, Buffet, Chef, Live Music"
"Courteous Staff, Serving Staff, Buffet Variety and Quality, Soup, Excellent Food, Breakfast, Naan, Buffet, North Indian, Mughlai, Oriental, Continental, Chinese, Beverages, Desserts, Starters, Relaxed Atmosphere"
"North Indian, Mughlai, Biryani, Beverages, Desserts, Ambiance, Main Course, Great Food, Experience, Chef, Live Music"
"Great Vegan Options, Great Lighting, Sophisticated, Coffee, Dessert, Extensive Food Menu, Bar Counter, Cafe, North Indian, Continental, Italian, Fast Food, Pasta, Banana Split, Flavorful Entrees, Mushrooms"
"Clean Bathrooms, Dinner Buffet, Sophisticated, Mutton, Good Hospitality, North Indian, South Indian, Mughlai, Biryani, Chinese, Oriental, Desserts, Beverages, Good Food and Good Ambience, Worth the Price, Pasta, Modern Vibe, Fried Rice, Honey Chilli Potatoes, Chinese Food"
"Deserts, Dinner Buffet, Sunday Brunch, Sophisticated, Courteous Staff, Good Options, North Indian, Salad, Chinese, Continental, Desserts, Live Music, Worth the Price, Fish Tikka, Starters, Great for Dates, Salads"
"Staff, Main Course, Ambience, Menu, Hospitality, North Indian, Mughlai, Continental, Oriental, Biryani, Beverages, Desserts, Experience"
"North Indian, Mughlai, Sophisticated, Tomato Shorba, Modern Vibe, Worth the Price, Biryani, Private Dining Room, Decor, Soups, Starters, Great Service, Pan Shots"
"Chutneys, Idiyappam, Authentic Food, Host, Neer Dosa, Sophisticated, Mutton, Courteous Staff, Andhra, South Indian, Tamil, Kerala, Sea Food, Filtered Coffee, Worth the Price, Great for Dates"
"North Indian, Chinese, Continental"
"Great View, Spectacular View, Live Folk Music, Kebab, North Indian, Mughlai, Desserts, Courteous Staff, Kebabs, Worth the Price, Biryani, Candle Light Dinner, Buffet, Starters"
"Portion, Privacy, Extensive Menu, Cafe, Great Portions, Mediterranean, Greek, Arabian, Prices"
"Brunch, Barbeque, North Indian, Continental, Asian, Dinner Buffet, Sunday Brunch, Mutton, Sophisticated, Love the Food Love the Service, Worth the Price, Pleasant Ambience, Great Hospitality, Sushi, Chocolate Pudding"
"Oriental, Asian, Beverages, Rock Corn Tempura, Bao Bun, Dimsum, Host, Live Kitchen, Live Grill, Authenticity, Amazing Staff, Comfortable Seating Area, Sticky Rice, Miso Soup, Burnt Garlic Soup"
"Amazing View, Momos, Great View, Ravioli Pasta, Ambience is very Nice, Awesome View, Nice View, North Indian, Italian, Continental, Desserts, Vada, Mocktails, Biryani, Gastronomical Experience, Brownie Milkshake"
"Family Crowd, Courteous Staff, Gujarati, North Indian, South Indian, Street Food, Fast Food, Italian, Desserts, Beverages, Environment, Breakfast, Relaxed Atmosphere, Themed Decor"
"Romantic Place, Extensive Bar Menu, Polite Owners, Italian, Mexican, North Indian, Best Quality Food and Service, Great Buffet Spread, Great Taste Value for Money"
"Comfortable Seating, Gulab Jamun, Pastas, Main Course, North Indian, Chinese, Fast Food, Salad, Beverages, Courteous Staff, Seating Arrangement, Good Options, Amazing Place, Desserts, Starter, Buffet, Salads"
"Preparation, Main Course, Table, North Indian, Continental, Chinese, Healthy Food, Salad, Desserts, Beverages, Sandwich, Hospitality, Great Service, Good Ambience"
"North Indian, Chinese, South Indian, Salad, Biryani, Desserts, Beverages, Ample Seating Area, Family Place, Live Music, Variety of Veg Options, Jain Food Options, Fusion Dishes"
"View, Ambiance, Main Course, Good Ambience, Good Food, Ample Seating Area, North Indian, Mughlai"
"Continental, North Indian, Great Buffet Spread, Good Service Good Quality, Desserts, Great Ambiance, Gastronomical Experience, Pasta, Panner Tikka, Buffet, Themed Decor, Fusion Dishes"
"North Indian, Asian, Continental"
"Main Course, Japanese Cuisine, New Menu, Japanese, Asian, Chinese, Sushi, Relaxed Atmosphere, Chef, Prices"
"Staff, North Indian, Continental, Mexican, Ambiance, Great Service, Taste, Food"
"Continental, North Indian, Pizza, Fast Food, Beverages, Decorations, Best Quality Food and Service, Candle Light Dinner, Ambiance and Music, Ample Seating Area, Great Taste Value for Money"
"Staff, North Indian, Oriental, Chinese, Biryani, Desserts, Beverages, Service, Ambience, Food"
"Staff, North Indian, Fast Food, Chinese, Beverages, Desserts, Nice Place, Family Place, Comfortable Seating Area, Hospitality, Variety of Veg Options"
"Chaas, Authentic Food, Village Theme, Family Place, Gujarati, Desserts, Jalebi, Gujarati Thali, Gujarati Food, More Variety, Buffet, Thepla, Relaxed Atmosphere, Live Music"
"Hummus, Deserts, Falafel Slider, Sophisticated, North Indian, Asian, Fast Food, Chinese, Live Music, Worth the Price, Burgers, Momo, Breakfast, Great Service, Great Ambience, Salads"
"Trained Staff, Nachos Supreme, Best Ambience, More Variety, Hot Pot, Nice Decor, North Indian, Chinese, Mexican, Asian, Italian, Oriental, Continental, Fish Fingers, Pot Rice, Lasagna, Theme, Relaxed Atmosphere, Dessert Skillet"
"Continental, American, North Indian, Oriental, Fast Food, Desserts, Beverages, Mexican, Deserts, Preparation, Main Course, Sizzler, Comfortable Seating Area, Nice Ambience, Soup, Hospitality, Pasta, Buffet, Excellent Service, Starters"
"North Indian, Mughlai, Chinese, Biryani, Oriental, Continental, Italian, Desserts, Momos, Drums of Heaven, Main Course, Good Value, Nice Taste, Balti Paneer, Good Food and Good Ambience, Hot Pot, Gastronomical Experience, Soups, Relaxed Atmosphere, Butter Chicken"
"Drink, Authentic Food, Village Theme, Juice, Jalebi, Packed on Weekends, Comfortable Seating Area, Authentic Gujarati Food, Relaxed Atmosphere, Gujarati, Desserts, Coffee, Salad, Beverages, Thali, Themed Decor"
"North Indian, Italian, Mexican"
"Ambiance, Main Course, Good Options, North Indian, Continental, Asian, Goan, Desserts, Beverages, Breakfast, Best Food under Best Budget, Chef"
"Staff, Service, North Indian, Fast Food, Chinese, Gujarati, Desserts, Beverages, Ambience, Menu, Good Food"
"Ambiance, Good Food, North Indian, Chinese, Mexican, Gujarati, Italian, Biryani, Desserts, Beverages, Excellent Food, Good Place, Experience, Good Ambience"
"Hummus, Brunch, Intimate Seating, Cafe, North Indian, Continental, Italian, South Indian, Fast Food, Desserts, Beverages, Fancy Crowd, Palak Khichdi, Romantic Seating, Menu Options, Dal Kichadi, Buffet, Falafel Platter, Sizzling Brownie, Live Music"
"Comfortable Seating, Orange Pound Cake, Masala Papad, Fusion Food, Ravioli, Singer, European, Continental, Outdoor Sitting, Nice Food Quality, Minestrone, Mojito, Naan, Fusion Dishes"
"Elegant Ambience, Classy Place, Valet Service, Thai Spring Roll, Fantastic Place, Worth Waiting, Ravioli, Parcha Paneer, Cheese Balls, North Indian, Italian, Continental, Chinese, Chipotle Bowl, Themed Decor, Risotto Balls"
"Servings, Falafel, Pesto Pasta, Cheese Fondue, Bruschetta, Cafe, Continental, North Indian, Pizza, Desserts, Beverages, Unique Menu, Calm, Perfect Ambience, Gastronomical Experience, Nice Decor, Chocolate Fondue, Nacho Supreme"
"Unique Ambience, Sporty Ambience, Chocolate Delight, Nice Theme, Nice Interiors, North Indian, Mexican, Asian, Italian, Hot Pot, Excellent Place, Cheesy Lasagna, Pot Rice, Dumplings, Combination Cannelloni, Staff Service"
"Romantic Place, Decoration, Chinese, North Indian, Mexican, Italian, Desserts, Pizza, Live Music, Mocktails, Perfect Ambience, Romantic Atmosphere, Pasta, Sizzlers, Roasted Garlic Soup, Starters, Candle Light Dinner"
"Chinese, Chinese, Thai, Desserts, Beverages, Authentic Food, Tomato Soup, Staff Service, Peaceful Environment, Mocktails, Spider Paneer, Sizzlers, Candle Light Dinner, Fried Rice, Chinese Food, Authenticity"
"Tamper Proof Packaging, Family Place, Courteous Staff, Dessert, Comfortable Seating Area, North Indian, Mughlai, Chinese, Parsi, Sandwich, Wraps, Desserts, Beverages, Starter, Pasta, Decor, Buffet, Great Ambience, Mutton Dhansak, Veg Shashlik Sizzler"
"Great Place, Ambiance, Family Place, Spicy, North Indian, Parsi, Chinese, Mughlai, Oriental, Fast Food, Desserts, Beverages, Nice Food, Good Place"
"Comfortable Seating, Relaxed Atmosphere, Lightings, Family Place, Baked Macroni, Jalebi, Karari Rumali, Quality of Food, Family Restaurant, Paneer Platter, Asian, North Indian, Desserts, Beverages, Aloo Tikki Chat, Stuffed Paneer"
"Main Course, Italian, Asian, North Indian, Continental, Desserts, Beverages, Mozzarella Balls, Pizza, Soup, Nice Food Quality, Atmosphere, Pasta, Great Food, Good Ambience, Live Music"
"Family Crowd, Parathas, Chaat, Dal Makhni, Live Kitchen, Family Place, Makke Ki Roti, North Indian, Street Food, Desserts, Beverages, Comfortable Seating Area, Chole, Paneer Bhurji, Food Quantity, Themed Decor"
"Awesome Food, Main Course, Comfortable Seating Area, Manager, North Indian, Chinese, Italian, Continental, Sandwich, Pizza, Beverages, Relaxed Atmosphere, Good Ambience"
"Staff, Main Course, Good for Large Groups, Ambience, North Indian, Italian, Chinese, Fast Food, Beverages, Ample Seating Area, Food"
"Fresh Food, Elaborate Menu, Service, Chinese, North Indian, Thai, South Indian, Seafood, Salad, Ambience, Portion Size, Good Quality"
Japanese
"Family Place, Courteous Staff, Value for Money Experience, Fusion Food, North Indian, Street Food, Relaxed Atmosphere, Ample Seating Area"
"Great View, Roof Top, Fancy Crowd, Beautiful Ambience, Mixed Sauce Pasta, Dutch Truffle Shake, Barbeque Pizza, Hot Pot, Excellent Place, North Indian, Chinese, Fast Food, Italian, Street Food, Sandwich, Panini, Hot Chocolate, Irish Coffee, Rooftop Ambience"
"Deserts, Main Course, Mocktail, Excellent Variety, North Indian, Chinese, Comfortable Seating Area, Singer, Live Music, Noodle, Starter, Decent Place, Buffet, Salads"
"Bread Bowl, Trained Staff, Good for Large Groups, Paneer Tikka, Authentic Punjabi Food, More Variety, Sofa, North Indian, Chinese, Mughlai, Biryani, Ice Cream, Desserts, Beverages, Starter, Soups, Relaxed Atmosphere, Servicing"
"Comfort Food, Street Food, Polite Staff, Price, Taste"
Gujarati
Street Food
Street Food
"Beverages, Fast Food"
Gujarati
Street Food
Street Food
Street Food
